sent,score,label,
"Like, does it have like purchase date or something like that?",0.9746479392051700,-1,
The the license... Is that in just like a a description field or or how is that a data structure.,0.9725696444511410,-1,
"And are you using the action items or like, the task and and have hubspot by chance I don't know.",0.9529180526733400,-1,
" Like, do you normally send these screenshots and things to the customer to vet?",0.9512749314308170,-1,
"These numbers at the top, are those typically weeks?",0.9505890011787420,-1,
 So what do we still need this?,0.9478240609169010,-1,
So if you can also do that same do that same exercise of just hitting execute all the sequences?,0.947351336479187,-1,
Let me know what is...,0.9471035599708560,-1,
"Like, how are you doing it?",0.9446861743927000,-1,
That is a function that I would like to know and it actually helps us.,0.9435437321662900,-1,
 Is it gonna go on the same folder with these other ones?,0.9433803558349610,-1,
"So, like, where does that go?",0.9419911503791810,-1,
What happened on this one?,0.9395473599433900,-1,
And how do we do that?,0.9393640756607060,-1,
" I don't know if in Shopify if there's a way, like, when you have products, you know, sometimes, like, stores will limit you to, like, two of this item or one.",0.939243495464325,0,
Are they having those conversations?,0.9389611482620240,-1,
How would that be billed?,0.9384825229644780,-1,
Did anyone get up to anything really interesting this weekend?,0.9371710419654850,0,
Was his role again?,0.9370949268341060,-1,
"I gotta figure out if there's a way we can or it again or just lock it to one or maybe there's a setting in Shopify where you can have inventory and only allow, like, one to be added an order a time.",0.9355981945991520,-1,
Do you interact with him much?,0.9337169528007510,-1,
"That is a function that I would like to know It actually helps us manage the telephone numbers, they call them the Ids, but I think that would be I'm I'm good",0.9335582852363590,-1,
 The four dial for that pad?,0.9325928688049320,-1,
"So like, is that just the time it sits in our you or how how do we get to this number?",0.9316686391830440,-1,
We already have connected data flows?,0.9313649535179140,-1,
So do you also watch the recordings after?,0.9301069378852840,-1,
"I was like, do we store it?",0.9300568103790280,-1,
And so we're wondering if we should just do this in minute where it's like average is five minutes or seven minutes or something like that.,0.9296143054962160,-1,
So what's this one?,0.9281210899353030,-1,
"I was just wondering maybe instead of protection status, maybe we have, like, order number with with the badge next to so you know how you have a new design it's like, the badge and it says protected protected one time.",0.926612138748169,-1,
"Were there any other kind of ways you looking to, I guess customize it or filter out who you're reaching out to you a bit more?",0.926527738571167,-1,
What do you mean?,0.9262726306915280,-1,
"Is where if they have full story that would be really interesting to watch, Like see the order go back and play it.",0.9252392649650570,-1,
Are you guys using classes in in Quickbooks?,0.9252012968063350,-1,
How can we filter the time zone from there?,0.9244148135185240,-1,
"I was like, oh, well, should stores be getting this or not, it looks like we're we're showing this for all stores and they're ranking.",0.9239009618759160,-1,
So Do you also watch the recordings after?,0.9235166907310490,-1,
"Like, if somebody's, like, me from the call list Is there a button to do that?",0.9232514500617980,-1,
Are you guys pretty much done?,0.9227671027183530,0,
Or do we just tell people to go to meta base directly?,0.9215862154960630,-1,
Does that build monthly cadence annually quarterly?,0.9208020567893980,-1,
"And I guess, when you say naming convention our do we have the ability to just take specific Gl accounts or the point of the naming convention so that as we add accounts, like it'll scale up automatically.",0.920531153678894,-1,
" We back forth, like, how do we jump into the actual tool for a long time and show noticed some of these companies like, really show you the tool for quite a while, but having screenshots a little bit more controlled obviously this.",0.9201048016548160,-1,
